,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,class
3026,30.7109375,79.56054688,81.9296875,7.146106177,10.16005919,9.690974049,51.0668335,103.2268028,93.91497803,-0.106762841,0.022160096,0.126931023,-0.36464031,-0.078803472,0.357309897,1
3027,29.38183594,80.23535156,76.58105469,9.614528707,13.37683546,13.92731103,92.43916225,178.9397268,193.9699926,-0.588530386,-0.829525548,-0.775124882,0.27885827,1.573767578,1.320901828,1
3028,29.38183594,80.23535156,76.58105469,9.614528707,13.37683546,13.92731103,92.43916225,178.9397268,193.9699926,-0.588530386,-0.829525548,-0.775124882,0.27885827,1.573767578,1.320901828,1
3029,29.68359375,74.328125,82.24804688,8.240731321,11.51221116,10.932722,67.90965271,132.5310059,119.5244102,-0.444262496,-0.70659766,-0.816026105,0.434245534,1.100840846,1.398195821,1
3030,29.6484375,72.23535156,76.26171875,9.545094326,15.24808775,14.06166176,91.10882568,232.50418,197.7303314,-0.789737354,-0.941872743,-0.840776926,0.489754898,1.07036344,0.965713585,1
3031,35.27929688,75.65429688,80.05664063,11.7404433,14.82105571,14.84051658,137.8380089,219.6636925,220.2409325,0.237691384,-1.343877616,-1.483261894,0.706420553,3.708776226,4.185456921,1
3032,24.64355469,71.50390625,76.48925781,9.865942121,17.01693735,17.63380437,97.33681393,289.5761566,310.9510565,-0.747054545,-1.29083497,-1.338745453,-0.088962376,1.913947738,1.875040881,1
3033,35.15234375,79.97363281,78.57226563,9.006629198,12.49672958,12.64427104,81.11936951,156.1682501,159.8775902,-0.454121435,-0.453548574,-0.195500705,0.177887443,0.378476013,0.329107833,1
3034,34.90820313,82.74414063,77.04785156,8.586495295,10.90096419,10.54078089,73.72790146,118.8310204,111.1080618,-0.62370854,-0.859768296,-1.283261679,0.949704699,2.02730934,3.147960007,1
3035,30.67675781,78.1953125,75.36132813,8.392123751,12.080659,11.93522183,70.42774105,145.9423218,142.4495201,-0.780461884,-0.939355982,-0.672561191,0.780869868,1.595647538,1.440835436,1
3036,26.31054688,72.91796875,79.4609375,6.549633674,9.45657785,9.606640236,42.89770126,89.42686462,92.28753662,-0.811321151,-1.040504519,-0.98928295,1.136239281,2.019832643,1.505101946,1
3037,35.57519531,84.59765625,77.88964844,9.113660011,12.45806381,10.96757162,83.05879879,155.2033539,120.2876272,-0.099893019,-0.307157059,-0.418696757,0.495260534,0.32801692,0.653751634,1
3038,28.50488281,77.63574219,80.94824219,7.870284773,11.42131419,12.72570667,61.94138241,130.4464178,161.9436102,-0.427991755,-1.159898634,-1.002261575,0.725614023,2.243000488,1.283938311,1
3039,28.81738281,72.79882813,76.71386719,9.399283684,15.67406542,14.10726081,88.34653378,245.6763268,199.0148077,-1.05602663,-1.521360655,-1.601838251,1.380115605,2.938462485,3.470539809,1
3040,29.55273438,71.08007813,78.03808594,8.273590346,13.55225108,13.91995514,68.45229721,183.6635094,193.765151,-1.197783613,-2.022327121,-2.268770061,2.125251441,6.677846711,8.208939748,1
3041,29.25292969,73.88671875,80.72363281,8.396630835,11.77635257,11.89902127,70.50340939,138.6824799,141.5867071,-0.711695001,-0.808520274,-0.99149142,0.85710584,1.831731213,1.888467914,1
3042,30.63671875,77.43066406,74.6015625,9.373065393,13.94342213,14.09916877,87.85435486,194.4190207,198.7865601,-0.628662229,-0.661092665,-0.724849911,0.156737066,0.521886993,0.503451497,1
3043,28.40039063,73.51074219,74.46289063,10.85305976,17.57583685,17.3917576,117.7889061,308.9100409,302.4732323,-0.848540013,-1.290882039,-1.101197552,0.378046954,1.731269497,1.540344597,1
