,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,class
4029,26.71875,35.62695313,24.67773438,18.99102893,21.17347194,15.11885375,360.6591797,448.3159142,228.5797386,1
4030,26.41210938,29.93847656,22.48925781,22.95078145,23.22014052,17.12374202,526.738369,539.1749258,293.2225409,1
4031,23.58203125,27.69238281,21.88964844,19.62472903,20.77164018,16.18021465,385.1299896,431.4610357,261.799346,1
4032,28.43847656,44.06445313,22.10449219,21.63403271,24.78358962,16.21455929,468.0313711,614.2263145,262.9119329,1
4033,30.09765625,49.48339844,22.53808594,18.97238522,21.19707835,14.49550424,359.9514008,449.3161306,210.1196432,1
4034,29.33886719,51.44628906,23.1015625,15.60171431,17.33440193,12.65155922,243.4134893,300.4814901,160.0619507,1
4035,30.01464844,36.46289063,23.29394531,20.66290977,25.52454758,16.17930905,426.9558401,651.5025291,261.7700415,1
4036,27.91015625,34.40820313,23.52050781,21.84993507,22.51747089,16.59200112,477.4196625,507.0364952,275.2945013,1
4037,24.28027344,34.55957031,23.7890625,20.60639695,23.30718702,17.2178833,424.6235952,543.224967,296.4555054,1
4038,24.546875,38.49023438,22.6015625,18.85542626,20.22900876,15.17217068,355.5270996,409.2127953,230.1947632,1
4039,25.04003906,39.34667969,22.16210938,18.85950726,22.08926158,15.76812851,355.6810141,487.9354773,248.6338768,1
4040,27.31152344,44.64453125,22.71386719,20.26859736,24.13646524,16.66739083,410.8160391,582.5689545,277.8019171,1
4041,26.41699219,45.93457031,21.75,18.57367468,23.69835289,14.83509616,344.981391,561.6119299,220.0800781,1
4042,27.47265625,34.84277344,23.07519531,22.9635248,24.72796696,17.65703013,527.3234711,611.4723501,311.7707129,1
4043,25.80175781,28.43261719,22.03320313,20.62440238,20.8642691,15.91496173,425.3659735,435.3177252,253.2860069,1
4044,44.32910156,46.52832031,26.20605469,21.99840399,20.03227812,14.04469437,483.9297781,401.2921667,197.2534399,1
4045,28.6015625,45.75878906,20.26171875,17.55364093,19.59047074,13.28907341,308.1303101,383.7865438,176.599472,1
4046,24.671875,36.52636719,26.93164063,18.78262136,20.89018179,16.94912006,352.7868652,436.3996954,287.2726707,1
4047,25.66503906,43.90917969,22.88183594,15.82528227,19.27880743,13.75563458,250.439559,371.6724157,189.2174826,1
4048,28.59863281,43.43164063,29.109375,18.08217025,21.75905017,17.16554706,326.9648809,473.4562645,294.6560059,1
4049,35.1015625,45.53417969,27.90429688,22.36053647,23.47835613,16.90548812,499.9935913,551.2332067,285.7955284,1
4050,30.56933594,47.66015625,22.35742188,18.58939227,19.80716939,13.56959721,345.565505,392.3239594,184.1339684,1
